taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Lathyrus tuberosus,perennial,,climber/scrambler,,,,,glabrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 cm,2.0 cm,,,,,,,,,,,,,,,,,,,,,,,,cylindrical,,dark-brown,,,,3 mm,4.1 mm,3.8 mm,4.8 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000213826
Laurus nobilis,perennial,,"tree/shrub, tree, shrub",,,,,,,,,,,"lanceolate, obovate",acute,cuneate,,2.5 cm,3 cm,5 cm,10 cm,,,,,unisexual,,,,,,,free,,,,,,,,,,,,,,,,,dioecious,8.0,,,,,,,,,,,,,,,"ellipsoid, obovoid","black, green",,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000364153
Leersia oryzoides,perennial,,"erect leafy/tussock, tussock",,,0.30 m,1.20 m,"scabrous, pubescent",spinescent,,,flat,,,acuminate,,flat,0.5 cm,1.0 cm,8 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000877688
Legousia hybrida,annual,,,,,0.05 m,0.30 m,hispid,,,,sessile,,"oblong, obovate",,,undulate,,,1 cm,3 cm,,,,,,,,,,,erect,,,,,,,,"purple, lilac, reddish",,,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000814819
Lemna gibba,,"aquatic/hygrophilous, aquatic",herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 mm,0.6 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000224424
Lemna minor,,"aquatic/hygrophilous, aquatic",herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 mm,0.6 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000224440
Lemna trisulca,,"aquatic/hygrophilous, aquatic",herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000224474
Leontodon hispidus,,,erect leafy,,,,,"hairy, glabrous, hispid",,,,pinnatipartite,,"oblanceolate, spatulate",,,"sinuate, runcinate",,,,,,,,,,,,,ligulate,"reddish, orange, violet, yellow, grey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,5 mm,8 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000130528
Leontodon saxatilis,"perennial, annual",,"erect leafy, herb",,,,,"ciliate, hairy, glabrous",,,,pinnatipartite,,"oblanceolate, spatulate",,,"sinuate, ciliate, runcinate",,,,,,,,,,,,,ligulate,"grey, violet, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brownish, white",,,,,,5 mm,5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000006987
Lepidium campestre,,,,,,,,,,,,sessile,,,acute,,entire,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,dry,,,white,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000358297
