taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Ammannia aegyptiaca,,,suffrutex,,,0.065 m,0.32 m,,,,,,,"oblong, rounded, lanceolate, ovate, obovate, orbicular","acute, attenuate","rounded, attenuate, cuneate",,0.05 cm,0.9 cm,0.1 cm,4.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000530908
Ammannia auriculata,,,,,,0.12 m,0.40 m,,,,,,,lanceolate,,auriculate,,0.175 cm,0.8 cm,0.6 cm,6.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000530923
Ammannia baccifera,,,suffrutex,,,0.065 m,0.32 m,,,,,,,"oblong, rounded, lanceolate, ovate, obovate, orbicular","acute, attenuate","rounded, attenuate, cuneate",,0.05 cm,0.9 cm,0.1 cm,4.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000530936
Ammannia multiflora,,,,,,0.15 m,0.43 m,,,,,,,"lanceolate, elliptic",,"auriculate, cuneate",,0.1 cm,0.6 cm,0.3 cm,4.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000531028
Ammannia senegalensis,,,,,,0.12 m,0.40 m,,,,,,,lanceolate,,auriculate,,0.175 cm,0.8 cm,0.6 cm,6.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000531090
Ammannia verticillata,,,suffrutex,,,0.24 m,0.30 m,scabrous,,,,,,"linear, rounded, lanceolate, elliptic, orbicular",attenuate,"rounded, attenuate",,0.1 cm,1.3 cm,0.6 cm,7.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000531122
Ammi majus,,,,,,1 m,1 m,glabrous,,,"bipinnate, pinnate, simple",pinnate,,bipinnate,,,,,,5 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000531157
Amorpha fruticosa,perennial,,shrub,,,1.5 m,6.0 m,,,,,,,"ovate, elliptic","mucronate, obtuse",,,,,15 cm,30 cm,,,,,,,,,,,,,,,,,0.25 cm,0.25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000213510
Ampelocissus latifolia,perennial,,"climber, herb",,,,,,,,,,,,,,,,,,,,,thyrse,,,,,,,reddish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000531533
Anabasis haussknechtii,,,shrub,,,0.20 m,0.75 m,pubescent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000532788
Anabasis lachnantha,,,shrub,,,,,,,,,,,,,,,,,0.1 cm,0.1 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000532803
Anabasis setifera,annual,,shrub,,,0.60 m,0.60 m,"pubescent, hairy",,,,"sessile, amplexicaul",opposite,"orbicular, rounded, oblong",obtuse,rounded,,0.2 cm,0.3 cm,0.6 cm,1.1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000532827
Anchusa azurea,,,,,,,,,,,,,,"lanceolate, ovate, elliptic",,,,,,,,,,,,,,,,,,,,,,,,1.0 cm,1.1 cm,"reddish, purple",1.2 cm,1.5 cm,,,,,,,,,,,,,,,,,terminal,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000533562
Andrachne aspera,perennial,,"shrub, herb, prostrate",,,,,"pubescent, scabrous, glandular",,,,,,,,,,,,,,,,,,unisexual,,,,,,,,whitish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish-brown,,,,,,1.5 mm,1.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000971442
Andrachne telephioides,perennial,,"herb, prostrate",,,,,"glabrous, pubescent",,,,,,"rounded, elliptic, ovate, orbicular","acute, obtuse",rounded,entire,0.15 cm,0.8 cm,0.2 cm,1.2 cm,,,,,unisexual,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish-brown,,,,,,1.5 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000972391
Andropogon munroi,perennial,,"erect leafy/tussock, tussock",,,,,"glabrous, pubescent",,,,,,,,,,0.3 cm,0.7 cm,30 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000847065
Androsace aizoon,annual,,erect leafy,,,0.12 m,0.35 m,glandular,,,,,rosulate,,,,,7.5 cm,7.5 cm,,,,,,,,,,,,"red, pinkish",,,,,,,0.35 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,dehiscent,globose,reddish-brown,,6.0,14.0,14.0,,,,,,,,,0.6 cm,0.9 cm,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534374
Androsace baltistanica,,terrestrial,erect leafy,,,,,"glabrous, pubescent",,,,,,"lanceolate, oblanceolate, spatulate",obtuse,,,0.18 cm,0.18 cm,0.35 cm,0.7 cm,,,,,,,,,,,,,,,,green,0.22 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534428
Androsace duthieana,perennial,,erect leafy,stoloniferous,,,,"villous, villouse",,,,,,"oblong, ovate",,,,,,0.5 cm,1.2 cm,,,,,,,,,,pink,,,,,,,0.25 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,globose,,,2.0,3.0,3.0,,,1.5 mm,2.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534537
Androsace flavescens,perennial,terrestrial,erect leafy,stoloniferous,,,,,,,,asymmetric,,"spatulate, oblong, lanceolate, obovate, oblanceolate","acute, obtuse",,,0.2 cm,0.5 cm,0.9 cm,1.45 cm,,,,,,,,,,,,,,,,,0.25 cm,0.28 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534563
Androsace foliosa,perennial,,erect leafy,stoloniferous,,,,"glabrous, ciliate, pubescent",,,,,,"oblong, elliptic, ovate","acute, obtuse",cuneate,ciliate,1.1 cm,5.0 cm,2 cm,11.5 cm,,,,,,,,,,,,,,,,,0.32 cm,0.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,1.1 mm,2.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534565
Androsace globifera,perennial,terrestrial,erect leafy,stoloniferous,,0.10 m,0.18 m,"glabrous, ciliate, setose",,,,,,"oblong, ovate","mucronate, acute, obtuse",,ciliate,,,,,,,,,,,,,,"pink, red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,2.0,2.0,2.0,,,1 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534582
Androsace harrissii,perennial,,erect leafy,solitary plant,,,,ciliate,,,,,imbricate,obovate,,,ciliate,0.05 cm,0.4 cm,0.25 cm,1.4 cm,,,,,,,,,,"white, pink",,,,,,,0.25 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534597
Androsace hazarica,perennial,,erect leafy,stoloniferous,,,,"glabrous, ciliate, setose",,,,,,lanceolate,acute,,ciliate,0.4 cm,0.55 cm,3.2 cm,5.7 cm,,,,,,,,,,pink,,,,,,,0.35 cm,0.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,,,2 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534600
Androsace lanuginosa,perennial,,erect leafy,"stoloniferous, solitary plant",,,,sericeous,,,,,,"elliptic, lanceolate, ovate",,,,0.4 cm,0.7 cm,0.6 cm,2.7 cm,,,,,,,,,,"mauve, pinkish",,,,,,,0.3 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,3.0,5.0,5.0,,,1.5 mm,2.0 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534646
Androsace lowariensis,,terrestrial,erect leafy,stoloniferous,,,,"glandular, hairy",,,,,,elliptic,acute,,,0.15 cm,0.2 cm,0.5 cm,1.1 cm,,,,,,,,,,,,,,,,,0.3 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534665
Androsace mucronifolia,perennial,terrestrial,erect leafy,stoloniferous,,0.10 m,0.18 m,"glabrous, ciliate, setose",,,,,,"oblong, ovate","mucronate, acute, obtuse",,ciliate,,,,,,,,,,,,,,"pink, red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,2.0,2.0,2.0,,,1 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534692
Androsace muscoidea,,,erect leafy,stoloniferous,,,,"villous, pubescent, hairy, villouse",,,,,,lanceolate,,,incurved,0.11 cm,0.15 cm,0.029 cm,0.107 cm,,,,,,,,,,"white, yellow",,,,,,,0.22 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,2.0,3.0,3.0,,,1.5 mm,1.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534697
Androsace ojhorensis,,,erect leafy,,,,,ciliate,,,,,,elliptic,acute,,ciliate,0.13 cm,0.21 cm,0.4 cm,0.9 cm,purplish,,,,,,,,,,,,,,,,0.3 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534723
Androsace rotundifolia,perennial,,,,,,,"villous, pubescent, glandular, villouse",,,,,,,,,,,,,,,,,,,,,,,"white, pink, red",,,,,,,0.48 cm,0.65 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,globose,,"brown, black",,,,,,1 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534782
Androsace russellii,,,erect leafy,,,,,"villous, villouse, hairy",,,,,,lanceolate,obtuse,,,0.11 cm,0.11 cm,0.3 cm,0.4 cm,,,,,,,,,,,,,,,,,0.28 cm,0.28 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,2.0,2.0,2.0,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534802
Androsace sempervivoides,perennial,,erect leafy,stoloniferous,,,,"glabrous, ciliate",,,,,,"obovate, oblanceolate, spatulate",cuspidate,,ciliate,0.3 cm,0.65 cm,0.5 cm,1.5 cm,,,,,,,,,,pink,,,,,,,0.3 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,1.8 mm,2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534823
Androsace septentrionalis,annual,,erect leafy,,,0.015 m,0.24 m,pubescent,,,,,,lanceolate,,,denticulate,0.18 cm,0.6 cm,0.9 cm,2.5 cm,,,,,,,,,,,,,,,,,0.38 cm,0.38 cm,white,,,,,,,,,,,,,,,,,,,,,,,,,,globose,,brown,14.0,20.0,20.0,,,1.5 mm,1.5 mm,,,,,6 cm,6 cm,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534825
Androsace staintonii,,terrestrial,erect leafy,,,,,hairy,,,,appressed,,lanceolate,obtuse,,,0.1 cm,0.1 cm,0.3 cm,0.42 cm,,,,,,,,,,"white, yellow",,,,,,,0.3 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534858
Androsace umbellata,annual,,erect leafy,,,0.05 m,0.11 m,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,globose,,brown,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000534890
Anemone biflora,perennial,,erect leafy,,,0.05 m,0.30 m,"glabrous, pubescent",,,,"sessile, appressed",,obovate,,cuneate,"dentate, crenate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000535125
Anemone punctulata,perennial,,erect leafy,,,,,hairy,,,lobed,"appressed, sessile, lobed",,"reniform, orbicular",,,"dentate, incised",,,8 cm,8 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000535697
Angelica glauca,,,,,,1 m,2 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000536202
Anisomeles indica,perennial,,,,,0.30 m,1.50 m,"glabrescent, glabrous",,,,,,"rounded, orbicular, ovate",truncate,"rounded, truncate","crenate, serrate",3 cm,7 cm,5 cm,10 cm,,,,,,,,,,,,,,,,,0.6 cm,0.8 cm,"white, greenish, purplish",1.5 cm,1.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000982244
Annona muricata,,,tree,,,4 m,4 m,"hairy, glabrous",,,,,,"obovate, oblong","acuminate, acute",,,3.1 cm,6.8 cm,8 cm,16 cm,,,,,,,,,,,,,yellowish,2 cm,2 cm,,,,,,,,,,,,,,,,,,0.45 cm,0.45 cm,,,,,,,,,fleshy,,ovoid,"white, green",,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000537848
Annona reticulata,,,tree,,,8 m,8 m,"hairy, glabrous",,,,,,"oblanceolate, orbicular, spatulate, lanceolate","acuminate, acute",cuneate,,2.5 cm,4.5 cm,13.5 cm,17 cm,,,,,,,,,,,,,,0.6 cm,0.7 cm,,,,,,,,,,,,,,,,,,0.15 cm,0.15 cm,,,,,,,,,,,,"white, brown, reddish",black,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000537905
Annona squamosa,,,tree,,,5 m,6 m,"hairy, glabrous",,,,,,"obovate, oblong, orbicular, elliptic","obtuse, acute",cuneate,,3 cm,4.3 cm,8 cm,11 cm,,,,,,,,,,,,,"yellow, purple",0.7 cm,0.9 cm,,,,,,,,,,,,,,,,,,0.1 cm,0.1 cm,,,,,,,,,,,,"yellowish, yellow, white, green","black, brown",,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000537949
Anthemis arvensis,annual,,herb,,,0.50 m,0.80 m,hairy,,,,"pinnatipartite, pinnatisect",,"linear, elliptic, lanceolate, oblong, ovate","acute, mucronate",,,0.5 cm,1.5 cm,1.5 cm,5 cm,,,,,,,,,,"purplish, white, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000002510
Anthemis cotula,annual,,herb,,,0.60 m,0.70 m,"hairy, glabrescent, glabrous",,,,"pinnatipartite, pinnatisect",,"linear, obovate, oblong, ovate","acute, acuminate",,entire,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000032964
Anthemis odontostephana,"perennial, annual",,herb,,,0.25 m,0.25 m,hairy,,,,"pinnatipartite, pinnatisect",,ovate,acute,,,0.6 cm,1.0 cm,1.5 cm,2.0 cm,,,,,,,,,,"white, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000043460
Anthemis rhodocentra,annual,,herb,,,0.20 m,0.20 m,hairy,,,,"pinnatipartite, pinnatisect",,"linear, oblong, ovate",,,,,,1.0 cm,3.5 cm,,,,,,,,,,"violaceous, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000127108
Anthochlamys polygaloides,annual,,prostrate,,,0.50 m,0.50 m,"glabrous, hairy",,,,,,"oblong, ovate",,,,,,,,,,,,,,,,,,,free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000538458
Anthoxanthum odoratum,perennial,,"erect leafy/tussock, tussock",,,,,"glabrous, pubescent, hairy",,,,,,,,,,0.15 cm,0.9 cm,1 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000848178
Anthriscus nemorosa,,,,,,1 m,3 m,"glabrous, pubescent",,,bipinnate,,,bipinnate,,,,,,20 cm,40 cm,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000538659
Anthriscus stocksiana,,,,,,0.20 m,0.70 m,hispid,,,bipinnate,,,bipinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000538691
Antidesma acidum,perennial,,"shrub, tree",,,,,"pubescent, glabrous",,,,,,"oblong, oblanceolate, obovate, elliptic, spatulate",acuminate,cuneate,,3 cm,5 cm,4 cm,12 cm,,,,,unisexual,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,terminal,,,,,dry,,ovoid,"reddish, purple",,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000234922
Antigonon leptopus,,,,,,,,"hairy, glabrescent, glabrous",,,simple,,alternate,"hastate, ovate",acute,hastate,,1.5 cm,5 cm,3 cm,8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,0.3 cm,0.7 cm,,,3.0,,,,,,,,,,,,,,,,5 mm,5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000538920
Aphragmus himalaicus,annual,,"herb, prostrate",,,0.03 m,0.12 m,glabrous,,,,sessile,,,,,"trilobed, entire",0.2 cm,0.8 cm,0.5 cm,2.0 cm,,,,,,,,,,"white, pinkish",,,,0.15 cm,0.15 cm,,,,,,,,,,,,,,,,,,0.2 cm,0.25 cm,,,,,,,,,,,,,brown,4.0,8.0,8.0,,,1.2 mm,1.2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000540402
Aphragmus obscurus,annual,,"herb, prostrate",,,0.03 m,0.12 m,glabrous,,,,sessile,,,,,"trilobed, entire",0.2 cm,0.8 cm,0.5 cm,2.0 cm,,,,,,,,,,"white, pinkish",,,,0.15 cm,0.15 cm,,,,,,,,,,,,,,,,,,0.2 cm,0.25 cm,,,,,,,,,,,,,brown,4.0,8.0,8.0,,,1.2 mm,1.2 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000540406
Aphragmus oxycarpus,perennial,,herb,,,0.02 m,0.08 m,"hairy, glabrous",,,,sessile,rosulate,"oblong, linear, elliptic",,,entire,0.2 cm,0.5 cm,1.0 cm,2.5 cm,,,,,,,,,,"white, pinkish, lilac",,,,0.15 cm,0.15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,4.0,6.0,6.0,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000540407
Apium graveolens,,,,,,,,glabrous,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000540626
Apluda mutica,perennial,,"climber/scrambler, erect leafy/tussock",,,,,,,,,flat,,,attenuate,attenuate,flat,0.2 cm,1.0 cm,5 cm,25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000848312
Aquilegia fragrans,,,erect leafy,,,,,pubescent,,,,,,lanceolate,acuminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 cm,1.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541351
Aquilegia moorcroftiana,,,erect leafy,,,,,,,,,,,lanceolate,,,,,,1 cm,2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541454
Aquilegia nivalis,,,erect leafy,,,,,"glabrous, pubescent",,,,,,"obovate, orbicular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 cm,1.0 cm,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541468
Aquilegia pubiflora,,,erect leafy,,,,,,,,,,,"linear, oblong",,,,,,15 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541507
Arabidopsis thaliana,annual,,,,,0.05 m,0.45 m,hairy,,,,sessile,rosulate,"linear, oblong, obovate",,cuneate,entire,0.5 cm,1.0 cm,1.5 cm,5.0 cm,,,,,,,,,,"white, pinkish",,,,0.1 cm,0.1 cm,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5 mm,0.5 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541830
Arabis alpina,perennial,,,,,0.20 m,0.45 m,hairy,,,,"sessile, amplexicaul",,"lanceolate, oblong, obovate",,,entire,0.5 cm,1.5 cm,2.0 cm,4.0 cm,,,,,,,,,,"white, pinkish",,,,0.15 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,35.0,35.0,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541867
Arabis alticola,perennial,,,,,0.20 m,0.70 m,"hairy, hispid",,,,"sessile, amplexicaul",rosulate,"oblong, ovate, obovate, orbicular, oblanceolate, spatulate, rounded",obtuse,rounded,"dentate, entire",1 cm,3 cm,5 cm,15 cm,,,,,,,,,,white,,,,0.2 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541885
Arabis amplexicaulis,perennial,,,,,0.20 m,0.70 m,"hairy, hispid",,,,"sessile, amplexicaul",rosulate,"oblong, ovate, obovate, orbicular, oblanceolate, spatulate, rounded",obtuse,rounded,"dentate, entire",1 cm,3 cm,5 cm,15 cm,,,,,,,,,,white,,,,0.2 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mm,1 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541890
Arabis bijuga,,,,,,,,"glabrous, hairy, stellate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000541963
