taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Lantana rugosa,,,shrub,,,1 m,2.5 m,"pubescent, hairy, scabrous",,,,,opposite,"ovate, lanceolate",acute,,"crenate, serrate",1.5 cm,4 cm,2 cm,9 cm,,,,,,,,,,"whitish, pinkish, yellowish",,,,,,,0.6 cm,0.8 cm,,1.0 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,globose,purplish,,1.0,1.0,1.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000223367
Lantana scabrida,perennial,,"climber/scrambler, shrub",,,1 m,4 m,scabrous,,flexhy,,,"opposite, decussate","oblong, ovate","acuminate, acute",,"crenate, serrate",1.5 cm,5 cm,2 cm,12 cm,,,umbel,,,,,,,"yellow, scarlet, red, orange",,,,,,,0.2 cm,0.3 cm,,0.7 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,globose,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000223390
Lappula barbata,annual,,,,,0.40 m,0.40 m,hairy,,,,appressed,,lanceolate,,,,0.4 cm,0.8 cm,2.0 cm,6.0 cm,,,,,,,,,,,,,,,,,,,blue,0.2 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000362503
Lappula heterantha,annual,,,,,0.40 m,0.40 m,hairy,,,,,,"oblanceolate, spatulate",,,,0.4 cm,1.0 cm,1.5 cm,6.0 cm,,,,,,,,,,,,,,,,,,,blue,0.3 cm,0.4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001283647
Lappula microcarpa,annual,,,,,0.50 m,0.50 m,hairy,,,,,,linear,,,,0.2 cm,0.35 cm,2.0 cm,3.0 cm,,,,,,,,,,,,,,,,,,,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001215761
Lappula sessiliflora,annual,,,,,,,hairy,,,,"sessile, appressed",,oblong,obtuse,,,0.2 cm,0.25 cm,1.0 cm,2.0 cm,,,,,,,,,,,,,,,,,0.2 cm,0.2 cm,blue,2.3 cm,2.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemochory,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0001215767
Lappula sinaica,annual,,,,,0.40 m,0.40 m,hairy,,,,"sessile, appressed",,"oblanceolate, spatulate",,,,0.4 cm,1.2 cm,1.2 cm,4.0 cm,,,,,,,,,,,,,,,,,,,"yellow, white, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000361497
Lappula spinocarpos,annual,,,,,0.25 m,0.25 m,hairy,,,,,,"oblanceolate, lanceolate, spatulate, linear",obtuse,,,0.2 cm,0.3 cm,1.2 cm,3.0 cm,,,,,,,,,,,,,,,,,,,blue,0.35 cm,0.35 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000361499
Lasiurus scindicus,perennial,,"erect leafy/tussock, suffrutex",,,,,pubescent,,,,"flat, convolute",,,,,flat,0.6 cm,0.6 cm,30 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000877631
Lathyrus cicera,annual,,climber/scrambler,,,,,glabrous,,,,,,"lanceolate, linear",,,,,,,,,,,,,,,,,,,,,,,,0.7 cm,0.9 cm,"red, purple, reddish",1.0 cm,1.6 cm,,,,,,,,,,,,,,,,,,,,,,,suture,,,,2.0,6.0,6.0,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000175952
Lathyrus gmelinii,,,,,,,,glabrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9 cm,0.9 cm,"orange, yellow, rose-pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000163789
