taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Chorizanthe cuspidata,,,prostrate,,,,,"villouse, villous",,,,,,"spatulate, oblanceolate",,,,0.3 cm,1 cm,0.5 cm,5 cm,,,,,,,,,,"reddish, greenish",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,2 mm,3 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603454
Chorizanthe diffusa,,,prostrate,,,,,"villouse, villous",,,,,,"spatulate, oblanceolate",,,,0.1 cm,0.4 cm,0.3 cm,2 cm,,,,,,,,,,"greenish, white",,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,brown,,,,,,2 mm,2.5 mm,,,,"2n = 38, 40, 42",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603460
Chorizanthe douglasii,,,,,,,,"villouse, villous",,,,,,"spatulate, oblanceolate",,,,0.1 cm,1 cm,0.5 cm,4 cm,,,cyme,,,,,,,"reddish, greenish, white",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3.5 mm,4 mm,,,,2n = 40,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603465
Chorizanthe fimbriata,,,,,,,,"pubescent, glandular, tomentose",,,,,,"spatulate, elliptic, obovate",,,,0.2 cm,2.5 cm,1 cm,3.5 cm,,,,,,,,,,reddish,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,4 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603470
Chorizanthe howellii,,,,,,,,"villouse, villous",,,,,,"spatulate, obovate",,,,0.5 cm,1.8 cm,1 cm,3 cm,,,,,,,,,,"greenish, grayish",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,4.5 mm,,,,2n =,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603478
Chorizanthe leptotheca,,,,,,,,"pubescent, tomentose",,,,,,"oblong, ovate",,,,0.3 cm,0.7 cm,0.5 cm,3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,4 mm,,,,2n = 38,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603492
Chorizanthe membranacea,,,,,,,,"tomentose, woolly, hairs absent",,,,,,linear,,,,0.1 cm,0.3 cm,1 cm,5 cm,,,,,,,,,,"greenish, white",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mm,3 mm,,,,"2n = 38, 40,",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603496
Chorizanthe obovata,,,prostrate,,,,,"hirsute, pubescent",,,,,,"spatulate, oblanceolate",,,,0.3 cm,1 cm,0.5 cm,2.5 cm,,,clustered,,,,,,,"reddish, greenish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,3.5 mm,,,,"2n = 38, 40, 42",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603502
Chorizanthe orcuttiana,,,,,,,,"villouse, pubescent, villous",,,,,,"spatulate, oblanceolate",,,,0.2 cm,0.5 cm,0.5 cm,1.5 cm,,,clustered,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,2 mm,2.2 mm,,,,2n =,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603506
Chorizanthe palmeri,,,,,,,,pubescent,,,,,,"spatulate, oblanceolate",,,,0.4 cm,0.8 cm,1 cm,3 cm,,,clustered,,,,,,,"reddish, greenish, purple",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,3.5 mm,,,,"2n = 38, 40,",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603507
Chorizanthe parryi,,,,,,,,"pubescent, strigose",,,,,,"spatulate, oblanceolate, oblong",,,,0.2 cm,1.2 cm,0.5 cm,4 cm,,,clustered,,,,,,,"reddish, greenish, grayish",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603511
Chorizanthe polygonoides,,,,,,,,"villouse, pubescent, villous",,,,,,elliptic,,,,0.2 cm,0.3 cm,0.3 cm,1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"black, brown",,,,,,2 mm,2.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603518
Chorizanthe procumbens,,,,,,,,pubescent,,,,,,"spatulate, oblanceolate",,,,0.1 cm,1.2 cm,0.5 cm,4 cm,,,clustered,,,,,,,"reddish, greenish, yellow, green",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,1.5 mm,2.5 mm,,,,2n =,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603522
Chorizanthe pungens,,,,,,,,"villouse, villous",,,,,,"spatulate, oblanceolate",,,,0.3 cm,1 cm,0.5 cm,7 cm,,,,,,,,,,grayish,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,2 mm,2.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603526
Chorizanthe rectispina,,,,,,,,pubescent,,,,,,"spatulate, oblanceolate",,,,0.2 cm,0.6 cm,0.5 cm,2 cm,,,clustered,,,,,,,"greenish, grayish",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,3.5 mm,,,,2n =,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603535
Chorizanthe rigida,,,,,,,,"pubescent, tomentose",spinescent,,,sessile,,"linear, elliptic, obovate, lanceolate",mucronate,,,0.05 cm,0.15 cm,0.1 cm,1.5 cm,,,clustered,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,2.2 mm,2.2 mm,,,,"2n = 38, 40",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603536
Chorizanthe robusta,,,,,,,,"villouse, villous",,,,,,,,,,0.2 cm,1 cm,1.5 cm,5 cm,,,clustered,,,,,,,"reddish, green",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3.5 mm,4 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603538
Chorizanthe spinosa,,,prostrate,,,,,"pubescent, tomentose",,,,,,,,,,0.3 cm,1.2 cm,0.03 cm,0.2 cm,,,,,,,,,,"reddish, greenish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 mm,3 mm,,,,2n =,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603543
Chorizanthe staticoides,,,,,,,,"glabrous, pubescent, tomentose",,,,,,"oblong, ovate",,,,0.3 cm,2.5 cm,0.5 cm,8 cm,,,,,,,,,,"reddish, green",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,4 mm,,,,"2n = 38,",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603544
Chorizanthe stellulata,,,,,,,,hirsute,,,,,,"spatulate, oblanceolate, lanceolate",,,,0.8 cm,2.2 cm,0.5 cm,2 cm,,,cyme,,,,,,,"reddish, greenish, white",,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3.5 mm,4.5 mm,,,,"2n = 38, 40, 44",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603553
Chorizanthe uniaristata,,,,,,,,pubescent,,,,,,"spatulate, oblanceolate",,,,0.2 cm,0.8 cm,0.5 cm,2 cm,,,clustered,,,,,,,"reddish, greenish, grayish",,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,brown,,,,,,2 mm,3 mm,,,,2n =,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603562
Chorizanthe ventricosa,,,,,,,,pubescent,,,,,,,,,,0.2 cm,1.2 cm,0.5 cm,4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,3 mm,3.5 mm,,,,"2n = 40, 42, 44",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603568
Chorizanthe watsonii,,,,,,,,"tomentose, strigose, woolly",,,,,,"spatulate, oblanceolate",,,,0.2 cm,0.5 cm,0.3 cm,2 cm,,,clustered,,,,,,,"reddish, greenish",,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,brown,,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603575
Chorizanthe wheeleri,,,,,,,,"pubescent, tomentose",,,,,,"elliptic, oblong",,,,0.2 cm,0.6 cm,0.5 cm,2 cm,,,,,,,,,,"reddish, greenish",,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,brown,,,,,,2.5 mm,3 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603576
Chorizanthe xanti,,,,,,,,"pubescent, tomentose",,,,,,"oblong, ovate",,,,0.3 cm,1 cm,0.3 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,brown,,,,,,4 mm,4.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000603577
Chromolaena bigelovii,,,shrub,,,0.50 m,1.50 m,,,,,,,"ovate, deltate, lanceolate",,,"dentate, serrate",1 cm,4 cm,3 cm,7 cm,,,,,,,,,,,,,,,,,,,"white, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000021020
Chromolaena frustrata,perennial,,,,,0.15 m,0.25 m,,,,,,,"elliptic, ovate",,,"dentate, serrate",0.7 cm,2.2 cm,1.5 cm,4 cm,,,clustered,,,,,,,,,,,,,,,,"lavender, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000064126
Chromolaena odorata,perennial,,shrub,,,0.80 m,2.50 m,,,,simple,,,"ovate, deltate, lanceolate",,,dentate,1 cm,4 cm,3 cm,10 cm,,,corymb,,,,,,,,,,,,,,,,"purplish, white, pinkish, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2n = 40, 60, 70",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000067484
Chrysolepis chrysophylla,,,"shrub, tree, tree/shrub",,,,,"glandular, pubescent",,,,flat,,,"acuminate, acute",,"flat, entire",,,0.5 cm,0.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellowish,,,,,,,6 mm,15 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000853729
