taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Najas graminea,,,,,,,,,,,,,,,acute,,serrulate,0.05 cm,0.1 cm,0.8 cm,2 cm,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"greenish, brown",,,,,,,,,,,"2n = 24, 36, 48",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000769492
Najas guadalupensis,,,,,,,,,,,,,,"rounded, orbicular",,"auriculate, rounded",serrulate,0.02 cm,0.21 cm,0.3 cm,3.3 cm,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, purple, yellowish",,,,,,,,,,,"2n = 12, 36, 42, 48, 54, 60",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000769498
Najas marina,,,,,,,,,,,,,,,acute,,serrate,0.04 cm,0.45 cm,0.5 cm,3.9 cm,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, reddish",,,,,,,,,,,2n = 12,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000769531
Najas minor,,,,,,,,,,,,,,,"acute, recurved",,"serrulate, recurved",0.01 cm,0.12 cm,0.5 cm,3.4 cm,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000769553
Najas wrightiana,,,,,,,,,,,,,,,acute,,serrulate,0.02 cm,0.13 cm,0.5 cm,2.6 cm,,,,,"staminate, pistillate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,whitish,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000769593
Narcissus jonquilla,perennial,,,,,0.02 m,0.03 m,,,,,,,,,,,0.2 cm,0.4 cm,30 cm,40 cm,,,umbel,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000696545
Narcissus papyraceus,perennial,,,,,0.04 m,0.06 m,pubescent,,,,flat,,,,,flat,0.6 cm,2.0 cm,20 cm,45 cm,,,umbel,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 22,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000696618
Narcissus poeticus,perennial,,,,,0.03 m,0.04 m,pubescent,,,,flat,,,,,flat,0.6 cm,1.0 cm,20 cm,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2n = 14, 21",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000697659
Narcissus pseudonarcissus,perennial,,,,,0.03 m,0.05 m,pubescent,,,,flat,,,,,flat,0.5 cm,1.5 cm,20 cm,45 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000696474
Narcissus tazetta,perennial,,,,,0.04 m,0.06 m,pubescent,,,,flat,,,,,flat,0.8 cm,2.0 cm,25 cm,35 cm,,,umbel,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 22,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000700066
Narthecium americanum,,,,,,,,,,,,,,,,,,0.07 cm,0.25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 cm,0.35 cm,,,,,,,,,,,,,,,,,7 mm,8 mm,1 mm,1.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000701321
Narthecium californicum,,,,,,,,,,,,,,,,,,,,0.3 cm,0.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 cm,0.4 cm,,,,,,,,,,,,,,,,,6 mm,8 mm,1.5 mm,2 mm,,,,2n = 26,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000701462
Nasturtium floridanum,,,,,,,,"glabrous, pubescent",,,,,,,,auriculate,,,,1.5 cm,10 cm,,,,,,,,,,,,,white,0.15 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, yellowish",,,,0.4 mm,0.7 mm,0.6 mm,0.9 mm,,,,2n = 32.,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001242678
Nasturtium gambelii,,,,,,,,pubescent,,,,decurrent,,"repand, linear, oblong, lanceolate",acute,auriculate,"repand, sinuate, dentate",0.2 cm,1.0 cm,0.5 cm,2.5 cm,,,,,,,,,,,,,white,0.2 cm,0.25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, reddish",,,,0.6 mm,0.8 mm,1 mm,1.2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001216744
Nasturtium microphyllum,,,,,,,,"glabrous, pubescent",,,,sessile,,,,auriculate,,,,1.5 cm,15 cm,,,,,,,,,,,,,"white, pink",0.15 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, reddish",,,,0.6 mm,0.9 mm,0.8 mm,1.2 mm,,,,2n = 64,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000380295
Nasturtium officinale,,,,,,,,"glabrous, pubescent",,,,,,,,auriculate,,,,1 cm,22 cm,,,,,,,,,,,,,"white, pink",0.15 cm,0.25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, reddish",,,,0.6 mm,1 mm,0.8 mm,1.3 mm,,,,2n = 32,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000380323
Nectouxia formosa,,,,,,,,,,,,,,"cordate, rounded, ovate, orbicular","truncate, acuminate, acute","truncate, rounded, cordate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nectar,,,,,,,,,,1.5 mm,2 mm,2 mm,2.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023619
Nekemias arborea,,,"climber/scrambler, climber",,,,,,,,pinnate,pinnate,,ovate,acute,,,,,,,,,,,,,,,,"green, yellowish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 40,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001340493
Nemastylis floridana,perennial,,,,,0.40 m,1.50 m,,,,,,,linear,,,,0.3 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,2 mm,2 mm,,,,2n = 56,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000785382
Nemastylis geminiflora,perennial,,,,,0.12 m,0.40 m,,,,,,,"linear, ensiform",,,,0.4 cm,2.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,,,,,,2n = 56,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000785366
Nemastylis nuttallii,perennial,,,,,0.18 m,0.35 m,,,,,,,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,1.5 mm,2.5 mm,2.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000790842
Neoholmgrenia andina,,,herb,,,,,bristly,,,,,,linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 mm,0.4 mm,0.7 mm,1.3 mm,,,,"2n = 28, 42",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001033044
Neoholmgrenia hilgardii,,,herb,,,,,bristly,,,,,,linear,,,,0.1 cm,0.3 cm,1 cm,3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 mm,0.4 mm,0.7 mm,1.3 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001033047
Nerisyrenia camporum,,,,,,,,,,,,sessile,,"spatulate, obovate, elliptic, repand, oblanceolate","obtuse, attenuate, acute",attenuate,"entire, dentate, repand",0.4 cm,3.0 cm,1 cm,4.5 cm,,,,,,,,,,,,,,0.5 cm,0.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 mm,0.7 mm,0.8 mm,1.1 mm,,,,"2n = 18, 19, 21, 22, 27, 32, 34, 36, 40, 41, 58",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001216399
Neslia paniculata,,,,,,,,pubescent,,,,,,"lanceolate, spatulate, oblong, oblanceolate","acuminate, acute",,,0.2 cm,2.5 cm,1.5 cm,9 cm,,,,,,,,,,,,,,0.05 cm,0.1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mm,1.1 mm,1.2 mm,1.4 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000380354
Nestotus macleanii,,,,,,,,"glabrous, glandular, ciliate",,,,,,linear,mucronate,,ciliate,0.03 cm,0.1 cm,0.3 cm,1.6 cm,,,,,,,,,,,,,,,,,,,,0.09 cm,0.16 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000030669
Nestotus stenophyllus,,,,,,,,"villouse, villous, ciliate, glandular, scabrous",,,,,,"spatulate, linear","mucronate, acute",,"scabrous, ciliate",0.07 cm,0.2 cm,0.4 cm,2.1 cm,,,,,,,,,,,,,,,,,,,,0.08 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 18,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000121377
Nevada holmgrenii,,,,,,,,"glabrous, pubescent, ciliate",,,,,,"lanceolate, spatulate, linear, oblanceolate","attenuate, acute","attenuate, cuneate",ciliate,0.1 cm,0.3 cm,0.6 cm,2.5 cm,,,,,,,,,,,,,,0.15 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 mm,1 mm,2 mm,3 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000378517
Neviusia alabamensis,,,,,,,,sericeous,,,,,,ovate,"attenuate, acuminate, obtuse, acute",attenuate,serrate,2 cm,4.5 cm,3 cm,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2n = 18,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001004550
Neviusia cliftonii,,,,,,,,strigose,,,lobed,lobed,,"cordate, ovate","acute, acuminate, obtuse, truncate","cordate, truncate",serrate,1.5 cm,7 cm,2 cm,9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001004561
Nicandra physalodes,,,,,,,,pubescent,,,lobed,lobed,,"elliptic, ovate, oblong",,,"dentate, sinuate",2 cm,20 cm,3 cm,31 cm,,,,,,,,,,,,,,,,,,,"white, purple, spot",1.5 cm,3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,1 mm,2 mm,,,,2n = 20,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023631
Nicolletia edwardsii,"perennial, annual",,,,,0.03 m,0.25 m,,,,,,,"fukufirn, linear",,,,,,1.0 cm,6.0 cm,,,,,,,,,,,,,,,,,,,yellow,0.7 cm,0.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 20,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000125423
Nicolletia occidentalis,perennial,,,,,0.05 m,0.29 m,,,,,,,linear,,,,,,2.0 cm,7.0 cm,,,,,,,,,,,,,,,,,,,"yellow, purple",0.8 cm,0.95 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 20,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000116412
Nicotiana acuminata,annual,,herb,,,,,"pubescent, scabrous",,,,,,"elliptic, orbiculate, ovate, lanceolate, orbicular",acuminate,,scabrous,10 cm,25 cm,6 cm,12 cm,,,,,,,,,,purple,,,,,,,,,"white, greenish, purple",0.1 cm,0.4 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,0.9 mm,1 mm,,,,2n = 24,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023639
Nicotiana attenuata,annual,,herb,,,,,"glabrous, pubescent",,,,sessile,,"elliptic, linear, lanceolate","acuminate, acute",,,5 cm,10 cm,2 cm,3 cm,,,,,,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,0.8 mm,0.8 mm,,,,2n = 24,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023680
Nicotiana clevelandii,annual,,herb,,,,,"pubescent, scabrous",,,,sessile,,"elliptic, ovate, rhombic",acute,,scabrous,1 cm,6 cm,6 cm,20 cm,,,,,,,,,,green,,,,,,,,,"white, purple",1.0 cm,1.7 cm,,,,,,,,,4.0,,,,,,,,,,,,,,,ovoid,,,,,,,,0.5 mm,0.5 mm,,,,2n = 48,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023724
Nicotiana glauca,,,"tree, shrub",,,,,"glabrous, pubescent",,,,,,"cordate, rounded, ovate, lanceolate, orbicular",acute,"cordate, rounded",,,,5 cm,25 cm,,,,,,,,,,green,,,,,,,,,"yellow, greenish, green",1.5 cm,4 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,0.5 mm,0.5 mm,,,,2n = 24,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023776
Nicotiana longiflora,annual,,herb,,,,,pubescent,,,,sessile,,"spatulate, elliptic, ovate, lanceolate, oblanceolate, linear","attenuate, acute","attenuate, auriculate",,1 cm,5 cm,10 cm,50 cm,,,,,,,,,,"purplish, green",,,,,,,,,"ivory, grayish, white, purplish",4 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,0.5 mm,0.5 mm,,,,2n = 20,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023821
Nicotiana obtusifolia,"perennial, annual",,herb,,,,,pubescent,,,,sessile,,"spatulate, elliptic, oblanceolate, pyriform","acuminate, acute",,,,,5 cm,20 cm,,,,,,,,,,green,,,,,,,,,"yellowish, whitish, green",0.6 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,0.5 mm,0.5 mm,,,,2n = 24,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023873
Nicotiana plumbaginifolia,annual,,herb,,,,,hispid,,,,sessile,,"spatulate, obovate, rounded, ovate, oblanceolate, orbicular, lanceolate",acuminate,rounded,,1 cm,5 cm,5 cm,30 cm,,,,,,,,,,"purplish, green",,,,,,,,,"white, purplish, greenish, ivory, purple",2.5 cm,3.5 cm,,,,,,,,,,,,0.4 cm,0.4 cm,,,,,,,,,,,ovoid,,,,,,,,0.5 mm,0.5 mm,,,,2n = 24,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023911
Nicotiana quadrivalvis,annual,,herb,,,,,"glabrous, pubescent",,,,sessile,,"elliptic, ovate, lanceolate","acuminate, acute",,,1 cm,4 cm,1 cm,1.5 cm,,,,,,,,,,green,,,,,,,,,"ivory, grayish, white, purple",2 cm,5 cm,,,,,,,,,,,,1 cm,1 cm,,,,,,,,,,,ovoid,,,,,,,,0.9 mm,0.9 mm,,,,2n = 48,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023927
Nicotiana repanda,annual,,herb,,,,,pubescent,,,,sessile,,"spatulate, ovate, pyriform",acute,,,1 cm,5 cm,10 cm,15 cm,,,,,,,,,,green,erect,,,,,,,,white,0.5 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,,,,,,,0.6 mm,0.6 mm,,,,2n = 48,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023934
Nicotiana rustica,"perennial, annual",,herb,,,,,pubescent,,,,,,"elliptic, rounded, ovate, lanceolate, orbicular",acute,rounded,,,,7.5 cm,15 cm,,,,,,,,,,green,erect,,,,,,,,"yellowish, yellow, greenish, green",1.0 cm,1.0 cm,,,,,,,,,4.0,,,,,,,,,,,,,,,"ovoid, ellipsoid",,,,,,,,0.7 mm,1.1 mm,,,,2n = 48.,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023949
Nicotiana sylvestris,perennial,,"tree, herb",,,,,pubescent,,,,"decurrent, sessile",,"elliptic, ovate","acuminate, acute",auriculate,,20 cm,50 cm,50 cm,50 cm,,,,,,,,,,green,erect,,,,,,,,white,2 cm,2 cm,,,,,,,,,4.0,,,,,,,,,,,,,,,ovoid,,,,,,,,0.5 mm,0.5 mm,,,,2n = 24,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023985
Nicotiana tabacum,perennial,,"tree, herb, shrub",,,,,pubescent,,,,"decurrent, sessile",,"elliptic, lanceolate","acuminate, acute",,,,,5 cm,50 cm,,,,,,,,,,green,,,,,,,,,"pink, reddish, red, white, greenish",2.5 cm,4.0 cm,,,,,,,,,,,,,,,,,,,,,,,,"ovoid, globose, ellipsoid",,,,,,,,0.5 mm,0.5 mm,,,,2n = 48,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001023987
Nigella damascena,,,,,,,,,,,,,,,,,,,,2 cm,16 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000380636
Nitrophila mohavensis,,,,,,,,,,,,flat,,ovate,"mucronate, apiculate",auriculate,flat,0.25 cm,0.35 cm,0.23 cm,0.47 cm,,,,,,,,,,pinkish,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,1.2 mm,1.2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001294619
Nitrophila occidentalis,,,,,,,,,,,,,,linear,"retuse, acute, apiculate",,,0.07 cm,0.15 cm,0.5 cm,3.0 cm,,,,,,,,,,"pinkish, yellowish, brown",erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,1.2 mm,1.2 mm,,,,2n = 18,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001294620
Noccaea arctica,perennial,,,,,,,,,,,,,"spatulate, ovate, oblong, oblanceolate","attenuate, obtuse, acute","attenuate, cuneate, auriculate",entire,0.1 cm,0.5 cm,0.5 cm,1 cm,,,,,,,,,,white,,,white,0.2 cm,0.25 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow-brown,,,,,,1.5 mm,2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001243442
Noccaea fendleri,perennial,,,,,,,,,,,amplexicaul,,"spatulate, obovate, ovate, oblong, oblanceolate, linear","attenuate, obtuse, acute","attenuate, cuneate, auriculate","entire, denticulate, dentate",0.01 cm,0.17 cm,0.04 cm,0.28 cm,,,,,,,,,,,,,"pinkish, white, purple",0.1 cm,0.49 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,1.1 mm,2.1 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001243440
Noccaea parviflora,"biennials, perennial, annual",,,,,,,,,,,,,"spatulate, ovate, repand, oblanceolate, oblong","obtuse, acute","cuneate, auriculate","entire, repand",0.2 cm,0.8 cm,0.5 cm,2.3 cm,,,,,,,,,,white,,,white,0.06 cm,0.12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,0.8 mm,1.2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001243443
Nolina arenicola,,,"erect leafy, tussock",,,,,pubescent,,,,flat,,,,,flat,0.5 cm,1.0 cm,100 cm,200 cm,,,panicle,,,,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3 mm,4.3 mm,3 mm,3 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000702525
Nolina atopocarpa,,,"erect leafy, tussock",,,,,pubescent,,,,,,,,,,0.15 cm,0.45 cm,45 cm,85 cm,,,raceme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 cm,0.1 cm,,,,,,,,,,,,,,,,,2.4 mm,3.2 mm,3 mm,4.1 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000697126
Nolina bigelovii,,,erect leafy,,,,,"pubescent, scabrous",,,,,,lanceolate,,,scabrous,1.2 cm,4.8 cm,50 cm,150 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,0.2 cm,0.3 cm,,,,,,,,,,,,,grayish,,,,,,2.5 mm,3.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000696627
Nolina brittoniana,,,"erect leafy, tussock",,,,,pubescent,,,,,,,,,,0.5 cm,1.1 cm,70 cm,100 cm,,,panicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07 cm,0.12 cm,,,,,,,,,,,,,,,,,2.6 mm,3.3 mm,3.4 mm,4.8 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000698797
Nolina cismontana,,,erect leafy,,,,,pubescent,,,,,,,,,,1.2 cm,3.0 cm,50 cm,140 cm,,,panicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reddish, brown",,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000696697
Nolina erumpens,,,"erect leafy, tussock, tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mm,1.5 mm,1.5 mm,2.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000698669
Nolina georgiana,,,"erect leafy, tussock",,,,,pubescent,,,,,,,,,,0.3 cm,0.8 cm,50 cm,130 cm,,,panicle,,,,,,,"yellow, green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 mm,3 mm,3.2 mm,4.7 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000698743
Nolina greenei,,,"erect leafy, tussock",,,,,"pubescent, hairy",,,,,,,,,"serrulate, entire",0.4 cm,0.8 cm,45 cm,110 cm,,,panicle,,,,,,,"white, purple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black, red",,,,,,,,3 mm,3.9 mm,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000771245
Nolina interrata,,,"erect leafy, tussock",,,,,pubescent,,,,,,,,,,1.2 cm,3.5 cm,30 cm,150 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 cm,0.17 cm,,,,,,,,,,,,,,,,,3 mm,4 mm,4 mm,6 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000698690
Nolina lindheimeriana,,,"erect leafy, tussock",,,,,pubescent,,,,,,,,,,0.35 cm,1.2 cm,30 cm,100 cm,,,panicle,,,,,,,"yellow, green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4 mm,3.3 mm,3.1 mm,4.2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000697748
Nolina micrantha,,,"erect leafy, tussock",,,,,pubescent,,,,,,,,,,0.4 cm,0.6 cm,80 cm,130 cm,,,panicle,,,,,,,purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 mm,4 mm,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000700646
Nolina microcarpa,,,"erect leafy, tussock",,,,,"pubescent, hairy",,,,,,,,,,,,10 cm,50 cm,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,3 mm,2.2 mm,3.4 mm,,,,2n = 38,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000700768
Nolina parryi,,,erect leafy,,,,,pubescent,,,,,,,,,,2.0 cm,4.0 cm,50 cm,140 cm,,,panicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reddish, brown",,,,,,,,,,,2n = 38,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000700801
Nolina texana,,,"erect leafy, tussock",,,,,"pubescent, hairy",,,,,,,acute,,,0.2 cm,0.7 cm,40 cm,90 cm,,,panicle,,,,,,,"yellow, green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6 mm,3.4 mm,,2n = 38,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000700457
